Output file at 75k items in test
Max ram 17.75gb
LSH=>Start=>2023-11-29 22:15:42.528765
LSH=>Finish=>2023-11-29 22:24:32.078795 

U490:U325,U498,U63144
U491:U499,U501,U659
U492:U23678,U54412,U70742
U493:U6920,U64434,U67135
U494:U6750,U40650,U67901
U495:U37946,U48067,U60708
U496:U4086,U10045,U32989
U497:U260,U483,U488
U498:U325,U490,U1180
U499:U491,U501,U659
U500:U14772,U23880,U72079
U501:U491,U499,U659
U502:U100,U486,U1411
U503:U13767,U26543,U58062
U504:U5376,U17578,U71060
U505:U18772,U47986,U71668
U506:U1860,U17331,U28799
U507:U1339,U20317,U45117
U508:U11014,U52056,U59101
U509:U258,U17858,U37021
U510:U17535,U20356,U35830
U511:U4192,U15243,U27437
U512:U383,U15294,U15750
U513:U7082,U15163,U33206
U514:U11351,U21491,U71567
U515:U14548,U35985,U37356
U516:U3586,U46007,U60287
U517:U268,U474,U3418
U518:U61664,U63080,U69789
U519:U20046,U30568,U74031
U520:U39074,U46015,U73416
U521:U374,U25366,U72375
U522:U10019,U20700,U36589
U523:U39568,U53018,U67232
U524:U121,U23880,U72079
U525:U15551,U56556,U69945
U526:U9445,U20623,U24233
U527:U3675,U22141,U30726
U528:U13403,U24680,U69477
U529:U8002,U15963,U20196
U530:U21759,U34212,U64638
U531:U14897,U43887,U49200
U532:U16710,U38525,U66007
U533:U40308,U58962,U64757
U534:U7538,U29014,U31489
U535:U646,U53141,U59190
U536:U11388,U12087,U51852
U537:U679,U22165,U50247
U538:U1072,U17967,U34269
U539:U321,U34566,U40911
U540:U5548,U12392,U68233
U541:U15926,U42393,U62471
U542:U1646,U52777,U65517
U543:U8733,U16580,U61466
U544:U23909,U30466,U58082
U545:U17039,U36206,U62205
U546:U9635,U28511,U63228
U547:U407,U2342,U51504
U548:U3801,U31809,U51862
U549:U5163,U10804,U17164
U550:U585,U4763,U6190
U551:U1920,U42857,U50117
U552:U869,U42564,U63088
U553:U82,U27777,U48982
U554:U1904,U24428,U49403
U555:U10160,U60423,U63214
U556:U491,U499,U501
U557:U601,U697,U33949
U558:U17769,U64680,U66984
U559:U8664,U32448,U60723
U560:U28667,U33944,U60594
U561:U3032,U9973,U25049
U562:U24312,U59118,U61411
U563:U583,U5675,U40318
U564:U4058,U9073,U21807
U565:U22254,U61799,U71497
U566:U24521,U37429,U43009
U567:U6346,U11900,U25698
U568:U5732,U10620,U31146
U569:U14458,U53280,U55796
U570:U140,U15790,U31570
U571:U622,U640,U714
U572:U8003,U23543,U30209
U573:U20466,U50408,U68726
U574:U13244,U15820,U27509
U575:U7545,U7603,U14954
U576:U10928,U35393,U39111
U577:U1937,U27368,U33333
U578:U86,U6719,U41596
U579:U7272,U7431,U32676
U580:U9912,U14862,U36972
U581:U53287,U55427,U70505
U582:U25460,U25580,U49133
U583:U563,U35274,U67713
U584:U29394,U62101,U74197
U585:U550,U4763,U22958
U586:U14937,U37748,U45878
U587:U948,U6349,U18467
U588:U9554,U29552,U38335
U589:U14944,U15718,U68919
U590:U2267,U7927,U37387
U591:U2920,U17303,U26504
U592:U8162,U12911,U29230
U593:U6032,U7926,U14191
U594:U51331,U55947,U69116
U595:U7477,U16005,U24665
U596:U12044,U44997,U62383
U597:U542,U52777,U65517
U598:U7710,U12200,U33941
U599:U660,U695,U10565
U600:U7495,U9427,U69748
U601:U557,U697,U1687
U602:U5634,U29892,U68137
U603:U3594,U10156,U28593
U604:U3764,U4321,U29752
U605:U4996,U15103,U59269
U606:U838,U3770,U28197
U607:U4996,U8413,U37930
U608:U20710,U31495,U40263
U609:U5806,U10878,U14113
U610:U649,U1156,U12527
U611:U9956,U45990,U61061
U612:U22803,U48577,U72600
U613:U70790,U71440,U74174
U614:U9493,U22947,U41305
U615:U653,U2600,U3232
U616:U1920,U5393,U9935
U617:U20807,U21232,U51158
U618:U3790,U15646,U64684
U619:U8438,U20861,U45218
U620:U9590,U9943,U68224
U621:U26473,U60918,U67903
U622:U571,U640,U714
U623:U16708,U52646,U71866
U624:U675,U29136,U44038
U625:U4152,U15403,U47626
U626:U667,U14763,U35022
U627:U1728,U3349,U39554
U628:U10121,U22234,U45471
U629:U635,U6273,U9422
U630:U3032,U34373,U68178
U631:U5543,U16543,U34415
U632:U671,U672,U702
U633:U704,U11409,U37337
U634:U761,U20173,U56443
U635:U650,U17326,U26597
U636:U5681,U46691,U74422
U637:U15005,U32287,U49583
U638:U9175,U20939,U67238
U639:U21373,U57421,U66796
U640:U571,U622,U714
U641:U6377,U37300,U66510
U642:U559,U658,U45407
U643:U6220,U24253,U59665
U644:U4946,U8886,U35402
U645:U36383,U52165,U59748
U646:U535,U53141,U74561
U647:U1513,U4578,U28959
U648:U41405,U58810,U67256
U649:U610,U12527,U33955
U650:U635,U13776,U62425
U651:U1706,U48877,U73621
U652:U60166,U68136,U69506
U653:U615,U16506,U28328
U654:U12158,U31283,U33569
U655:U5708,U9511,U16216
U656:U9477,U66332,U67232
U657:U690,U11838,U72474
U658:U642,U8682,U24732
U659:U491,U499,U501
U660:U599,U695,U10565
U661:U4011,U4305,U58578
U662:U24595,U56448,U68410
U663:U26563,U70828,U73186
U664:U5802,U27655,U46133
U665:U293,U2456,U19912
U666:U5107,U7867,U73515
U667:U626,U6677,U29682
U668:U3964,U11278,U30513
U669:U33343,U36967,U64251
U670:U699,U5608,U25444
U671:U632,U702,U14329
U672:U632,U24684,U74202
U673:U2088,U29125,U49772
U674:U694,U10726,U38316
U675:U624,U25671,U61388
U676:U565,U1900,U12946
U677:U559,U2035,U9425
U678:U1755,U22798,U32899
U679:U20645,U24518,U32220
U680:U860,U1156,U12527
U681:U8009,U20484,U43491
U682:U3272,U32941,U43014
U683:U4395,U6823,U58275
U684:U10808,U13576,U29601
U685:U709,U1349,U12110
U686:U911,U3170,U18265
U687:U26370,U31925,U44135
U688:U4017,U13835,U71441
U689:U18462,U52764,U63351
U690:U657,U11838,U72474
U691:U433,U435,U69764
U692:U26111,U26525,U37934
U693:U4623,U7756,U17555
U694:U674,U4466,U38316
U695:U599,U660,U10565
U696:U9274,U16596,U24542
U697:U557,U601,U68179
U698:U4999,U15274,U64533
U699:U670,U5608,U69594
U700:U3079,U7264,U73888
U701:U17880,U20561,U59719
U702:U632,U671,U710
U703:U647,U28959,U30865
U704:U633,U12183,U37876
U705:U7918,U11661,U31416
U706:U30605,U73476
U707:U20223,U48696,U53255
U708:U32941,U62841,U66597
U709:U1349,U12110,U18005
U710:U932,U10972,U14458
U711:U27241,U40725,U55586
U712:U13428,U61677,U69923
U713:U9630,U9746,U14021
U714:U622,U640,U65517
U715:U9136,U12704,U37245
U716:U3407,U9137,U65624
U717:U2939,U48180,U53617
U718:U11446,U39601,U63362
U719:U3478,U16871,U74924
U720:U12533,U50375,U56160
U721:U141,U5268,U7051
U722:U12769,U25973,U68594
U723:U5236,U28130,U54754
U724:U12889,U15213,U53246
U725:U49316,U60117,U63471
U726:U6292,U34111,U53226
U727:U12006,U17001,U53507
U728:U5383,U27748,U67669
U729:U26093,U35121,U39147
U730:U10062,U33355,U62301
U731:U13053,U26920,U63287
U732:U1245,U17784,U41944
U733:U3888,U9618,U30638
U734:U6116,U32400,U63437
U735:U1038,U25962,U73754
U736:U13501,U30213,U64234
U737:U3264,U60054,U62258
U738:U10653,U30000,U59704
U739:U3934,U23674,U34369
U740:U1049,U11727,U57204
U741:U2451,U13795,U27582
U742:U12300,U14457,U16087
U743:U5226,U10829,U18847
U744:U16598,U33314,U65008
U745:U3316,U17564,U23855
U746:U3210,U5277,U34837
U747:U8119,U13740,U13864
U748:U25810,U63420,U67329
U749:U2334,U14735,U62450
U750:U10802,U22458,U50654
U751:U6978,U12554,U59488
U752:U34450,U54823,U69649
U753:U9010,U54407,U65919
U754:U58415,U68452,U74070
U755:U10270,U39204,U47111
U756:U9212,U12722,U53411
U757:U9208,U60675,U72728
U758:U20814,U22111,U74264
U759:U26056,U69045,U70187
U760:U13498,U24254,U52583
U761:U25029,U49389,U51897
U762:U35408,U40179,U40967
U763:U19577,U21204,U58826
U764:U42267,U53723,U69064
U765:U20156,U29342,U62888
U766:U2169,U6788,U18654
U767:U25073,U33739,U36870
U768:U11211,U27216,U56126
U769:U806,U6187,U53049
U770:U7523,U23589,U73545
U771:U2762,U59657,U63678
U772:U1720,U4384,U39417
U773:U255,U274,U65363
U774:U2598,U11930,U13766
U775:U24724,U34251,U50272
U776:U11214,U24043,U69060
U777:U6963,U11294,U21732
U778:U56609,U56887,U58673
U779:U27892,U44634,U59866
U780:U1359,U9498,U35953
U781:U6977,U16337,U19590
U782:U15808,U23829,U69958
U783:U6924,U7171,U17289
U784:U43273,U56902,U74390
U785:U26365,U38284,U69129
U786:U23713,U32815,U61568
U787:U6923,U28745,U65287
U788:U33892,U35711,U49609
U789:U57250,U62477,U64565
U790:U2562,U20494,U29304
U791:U3472,U52907,U68101
U792:U33774,U55626,U65070
U793:U3972,U46679,U64717
U794:U7435,U10409,U31172
U795:U26396,U67126,U69638
U796:U1680,U15005,U63393
U797:U10002,U32037,U56675
U798:U1392,U1990,U52289
U799:U12708,U32481,U56787
U800:U48684,U58596,U71912
U801:U8257,U11426,U32465
U802:U23072,U23608,U35068
U803:U8336,U25170,U68657
U804:U21739,U47431,U53750
U805:U26085,U57786,U69164
