3-4-5 100k
Max ram 27.4gb -> 24t
LSH=>Start=>2023-11-30 19:12:50.412111
LSH=>Finish=>2023-11-30 19:21:38.690907

U192:U30002,U63934,U71834,U78066,U78146
U193:U3574,U8270,U23065,U78660,U84223
U194:U1852,U2117,U14552,U30004,U70781
U195:U204,U18456,U42803,U84719,U99539
U196:U8319,U11005,U22555,U54570,U61444
U197:U1180,U9924,U14446,U39337,U92090
U198:U231,U7429,U44505,U48833,U58731
U199:U427,U3607,U14497,U24983,U68206
U200:U236,U40988,U67322,U70742,U87745
U201:U4202,U29675,U29973,U85417,U99206
U202:U1146,U19564,U40504,U51607,U65004
U203:U5956,U14931,U17867,U49518,U65672
U204:U195,U2477,U11200,U12116,U58654
U205:U2795,U10093,U21896,U30536,U92681
U206:U5003,U12397,U14753,U65992,U70442
U207:U15199,U17394,U66586,U76184,U86000
U208:U24086,U27387,U30582,U74925,U96226
U209:U1739,U3225,U4013,U6916,U8675
U210:U4808,U51399,U90328,U92355,U98886
U211:U4324,U5736,U36283,U77531,U94441
U212:U74659,U76394,U85659,U87004,U95181
U213:U2038,U4016,U10660,U38930,U65178
U214:U232,U4377,U33660,U43623,U92272
U215:U13082,U13790,U58963,U71767,U79889
U216:U170,U30459,U32367,U32380,U42885
U217:U8507,U8989,U15475,U18952,U20241
U218:U5977,U10562,U14250,U59437,U87703
U219:U6027,U26254,U30150,U62537,U80291
U220:U9333,U11187,U17589,U18736,U33951
U221:U2957,U5612,U5963,U66154,U89855
U222:U26772,U51746,U85592,U96361,U97549
U223:U6449,U35619,U38674,U52781,U67168
U224:U229,U6653,U7459,U18684,U56261
U225:U3039,U17326,U36589,U47160,U55158
U226:U78289,U80791,U82120,U85829,U96183
U227:U9082,U15568,U27927,U65688,U76199
U228:U8970,U35776,U44083,U47583,U53238
U229:U224,U6653,U7459,U56261,U80837
U230:U52455,U70240,U80588,U85972,U96756
U231:U198,U7429,U44505,U48833,U58731
U232:U214,U4377,U33660,U92272,U95223
U233:U36086,U65635,U87519,U93339,U98729
U234:U18571,U36264,U39981,U41088,U91890
U235:U278,U8559,U13171,U35247,U90639
U236:U67322,U70742,U83223,U87319,U87745
U237:U33502,U59486,U65338,U78571,U95813
U238:U13374,U20791,U28693,U36213,U38239
U239:U249,U13893,U73450,U80343,U98679
U240:U1975,U44140,U54553,U78601,U84340
U241:U19688,U41291,U58936,U70738,U77689
U242:U10438,U52270,U62221,U86084,U87863
U243:U4237,U10427,U14242,U50257,U88763
U244:U245,U11161,U40530,U49520,U88483
U245:U244,U255,U11161,U46503,U52794
U246:U53311,U73895,U74240,U81548,U89325
U247:U1369,U1527,U53329,U55616,U98517
U248:U4423,U33388,U51177,U72775,U91786
U249:U239,U73450,U80343,U98610,U98679
U250:U5840,U11339,U45063,U67322,U87745
U251:U4674,U38291,U75164,U78954,U91424
U252:U48209,U61203,U72793,U94138,U95450
U253:U2815,U39694,U60864,U61725,U72887
U254:U6315,U12672,U52022,U54019,U96991
U255:U244,U274,U773,U11161,U65363
U256:U4436,U8960,U18232,U19473,U75048
U257:U100,U1804,U4659,U79215,U90681
U258:U350,U7230,U28848,U78608,U90172
U259:U121,U52869,U65439,U80629,U81466
U260:U488,U497,U47691,U69856,U70000
U261:U286,U87899,U89429,U90785,U95832
U262:U37711,U48025,U77747,U88100,U90432
U263:U431,U5684,U53845,U68823,U75090
U264:U8197,U13031,U63980,U89325,U99547
U265:U1903,U6462,U52273,U75578,U87619
U266:U11411,U22198,U44613,U48696,U74505
U267:U409,U65313,U70102,U84836,U92139
U268:U517,U66555,U71223,U76924,U82107
U269:U21863,U27779,U28161,U47241,U94875
U270:U10279,U67687,U72566,U81990,U97017
U271:U68049,U69926,U80394,U94281,U96077
U272:U359,U461,U5547,U42185,U67327
U273:U1080,U2719,U60464,U77235,U93982
U274:U244,U255,U773,U11161,U65363
U275:U310,U348,U352,U28824,U97008
U276:U434,U54926,U84189,U90899,U96318
U277:U52251,U67681,U70963,U79826,U91982
U278:U235,U8559,U35247,U39196,U44177
U279:U283,U367,U15779,U69476,U89737
U280:U354,U49934,U50482,U53039,U57033
U281:U14140,U20057,U29068,U29996,U74438
U282:U4627,U5654,U58984,U82205,U96934
U283:U279,U367,U8395,U69476,U89737
U284:U2961,U9030,U60614,U62508,U66926
U285:U351,U6008,U60094,U70613,U88610
U286:U261,U87899,U89429,U90785,U95832
U287:U2925,U25913,U28777,U30276,U99787
U288:U10733,U33911,U70399,U81352,U97364
U289:U3010,U5901,U21818,U62795,U74167
U290:U6632,U38175,U71021,U78042,U91324
U291:U2315,U3654,U12555,U28548,U51344
U292:U35529,U44852,U48722,U79691,U86397
U293:U665,U2456,U19912,U40591,U54657
U294:U2055,U54091,U69318,U89842,U95136
U295:U15,U59407,U61445,U70848,U99842
U296:U4540,U4574,U14872,U22426,U26230
U297:U14322,U65104,U82720,U83113,U91913
U298:U11732,U20877,U36747,U65910,U97456
U299:U2477,U5592,U17028,U43290,U44704
U300:U47738,U51071,U52459,U59502,U86984
U301:U2342,U14929,U51504,U83943,U94806
U302:U2492,U3483,U29528,U53377,U77964
U303:U385,U45037,U47843,U55638,U55950
U304:U69935,U75666,U86268,U90570,U95163
U305:U1388,U10026,U43309,U46643,U59755
U306:U21201,U26619,U33960,U59582,U87977
U307:U394,U5660,U10499,U17345,U21711
U308:U1005,U24550,U49304,U86128,U97095
U309:U44671,U51635,U53972,U78650,U84587
U310:U275,U348,U352,U48652,U50600
U311:U11453,U50121,U80123,U85256,U93357
U312:U3955,U8673,U11649,U19981,U66749
U313:U549,U12909,U42106,U57538,U78720
U314:U5787,U54656,U74213,U77643,U81831
U315:U282,U3488,U11067,U15967,U40617
U316:U5129,U19345,U33819,U37969,U67803
U317:U9167,U33154,U44586,U45539,U90358
U318:U11980,U28104,U52974,U62247,U79899
U319:U1845,U8958,U26899,U34235,U65893
U320:U5445,U43945,U53860,U54448,U88319
U321:U539,U1176,U7646,U40691,U90316
U322:U11023,U43491,U61465,U63238,U86702
U323:U6407,U12371,U41443,U54554,U67966
U324:U1008,U24475,U47433,U58647,U71231
U325:U490,U498,U1180,U9924,U69836
U326:U13179,U30950,U34832,U81789,U85588
U327:U124,U774,U2598,U11930,U13766
U328:U11408,U12825,U20702,U27049,U57917
U329:U8689,U23898,U56948,U96533,U97544
U330:U7002,U38729,U39475,U61162,U62837
U331:U3613,U12229,U26312,U49100,U51885
U332:U3142,U23253,U27464,U32780,U42885
U333:U4097,U15478,U41566,U62071,U66946
U334:U11772,U14444,U28036,U46420,U77058
U335:U17140,U61250,U74199,U86023,U92597
U336:U118,U18182,U41074,U53836,U99530
U337:U14288,U70623,U73168,U91752,U99517
U338:U12956,U31236,U44759,U49346,U79806
U339:U1947,U24767,U41869,U69796,U81837
U340:U6517,U7281,U8838,U73679,U78454
U341:U78,U396,U445,U1176,U55233
U342:U587,U1863,U17705,U64203,U82271
U343:U2331,U56713,U70497,U73689,U79855
U344:U22903,U39602,U48028,U48687,U90668
U345:U1851,U1999,U5588,U55872,U70342
U346:U48766,U50348,U69732,U84627,U99984
U347:U128,U36113,U48785,U69552,U95345
U348:U275,U310,U352,U48652,U50600
U349:U404,U51216,U51842,U81664,U88562
U350:U258,U7230,U28848,U78608,U90172
U351:U285,U13986,U15059,U87599,U88610
U352:U275,U310,U348,U28824,U97008
U353:U256,U4436,U19473,U31504,U80392
U354:U280,U24677,U35641,U49934,U78412
U355:U14299,U30423,U36541,U43319,U80948
U356:U6873,U15511,U39385,U40531,U47379
U357:U21891,U43257,U54177,U56486,U94092
U358:U4615,U24179,U32786,U34335,U41516
U359:U272,U4217,U5547,U44019,U52843
U360:U14753,U39067,U44467,U54073,U59626
U361:U7981,U21485,U35827,U78855,U88713
U362:U57519,U64698,U73721,U86694,U89952
U363:U41011,U48006,U59789,U85929,U98133
U364:U5979,U7481,U14413,U18971,U22740
U365:U12266,U30649,U49854,U51638,U91063
U366:U53801,U65583,U88024,U97447,U97700
U367:U279,U283,U18133,U69476,U89737
U368:U436,U480,U39838,U59752,U60491
U369:U5792,U10779,U15370,U31664,U35691
U370:U12268,U42359,U44852,U56863,U99669
U371:U9760,U42082,U43208,U44058,U49069
U372:U12478,U39394,U42255,U63589,U96465
U373:U6903,U11759,U48566,U60365,U64331
U374:U41224,U59823,U60762,U71091,U95991
U375:U5204,U10411,U17549,U18322,U63581
U376:U429,U3733,U56894,U67173,U99984
U377:U21279,U54935,U56867,U65254,U98223
U378:U399,U6878,U33105,U42450,U66092
U379:U7125,U15208,U47926,U68366,U94313
U380:U180,U1162,U32577,U48060,U64033
U381:U7887,U10796,U21706,U41082,U72805
U382:U10248,U29753,U35033,U75351,U98805
U383:U9975,U32639,U60834,U74370,U76126
U384:U71,U9728,U15707,U60090,U60653
U385:U303,U45037,U47843,U55638,U55950
U386:U43159,U53205,U62058,U91533,U91593
U387:U4435,U13784,U28511,U46912,U63706
U388:U14504,U24794,U57211,U61810,U70253
U389:U76,U45558,U61291,U64877,U75224
U390:U8298,U26531,U51131,U53827,U70078
U391:U11864,U22282,U23710,U78500,U93535
U392:U1091,U8212,U18693,U47884,U56404
U393:U37539,U42881,U61658,U73421,U90158
U394:U307,U5660,U10499,U17345,U34325
U395:U20618,U43824,U58758,U60776,U82883
U396:U78,U341,U445,U1176,U89003
U397:U3348,U34393,U61695,U81831,U95063
U398:U484,U489,U4850,U27923,U74099
U399:U378,U33105,U66092,U67377,U73689
U400:U28164,U43597,U61942,U64420,U88756
U401:U2461,U11493,U38105,U51652,U74049
U402:U121,U259,U500,U23880,U72079
U403:U249,U430,U1546,U23516,U73391
U404:U29015,U51216,U51842,U81664,U88562
U405:U4806,U7890,U43561,U62856,U71897
U406:U61023,U65643,U69726,U70560,U93892
U407:U301,U547,U39061,U40165,U51504
U408:U4799,U53141,U61801,U77705,U91677
U409:U267,U65313,U70102,U84836,U92139
U410:U5426,U9063,U18994,U53613,U78370
U411:U2034,U14509,U35243,U45129,U48980
U412:U22135,U55880,U57915,U65344,U70617
U413:U10559,U26743,U27983,U46183,U52627
U414:U19905,U38305,U38809,U49889,U49982
U415:U23001,U24872,U64621,U77553,U99521
U416:U5197,U5276,U72201,U94099,U95004
U417:U45205,U53248,U55480,U61999,U78865
U418:U28188,U40814,U57987,U62059,U90013
U419:U3102,U10075,U43147,U52663,U74533
U420:U33315,U68807,U80825,U84943,U98051
U421:U32046,U39433,U45167,U72540,U73980
